status,platform,works_name,artist_name,author,illustrator,original_author,age_classification,genre,works_type,description,hashtags,thumbnail_url,source_url
신규,kakao_page,토끼와 흑표범의 공생관계,야식먹는중,야식먹는중,야식먹는중,,전체연령가,로판,소설,"나는 성인식을 치르고도 인간이 되지 못한 토끼 수인이었다.가문에서는 그런 나를 반쪽짜리라며 바구니에 넣어 내버렸는데…,“우네? 더 울어 봐.”웬 성격 나쁜 흑표범에게 주워졌다.“근성이 부족하네. 모레 잡아먹을 테니까 노력해 봐.”이 극악무도한 맹수. 콧수염을 파르르 떨며 노려보자, 흑표범의 눈이 청초하게 휘어졌다. “나 방금 설렌 것 같아.”엄마야, 얘 돌았나 봐!적잖이 미친 흑표범에게서 살아남기.“맹수들은 소유욕이 강하대, 그게 무엇이든.”…가능할까?","로맨스판타지, 왕족/귀족, 권선징악, 라이벌/앙숙, 소유욕/독점욕, 능글남, 능력남, 재벌남, 상처남, 카리스마남, 다정녀, 외유내강, 엉뚱발랄녀, 달달물, 성장물",https://page-images.kakaoentcdn.com/download/resource?kid=bcGZDZ/hyZ8AF9eYc/HzGUST9WpxW1KQX5n4JZo0&filename=o1/dims/resize/384,https://page.kakao.com/content/54046523
신규,kakao_page,크리스탈 아가씨는 남자다,"전어나, 노논",노논,노논,전어나,전체연령가,로판,웹툰,"로터리 가문의 막내 딸이자 몸이 약해서 별채 밖으로 나오지 않는연약한 아가씨, 크리스탈 로터리. 그의 정체는 남자다. 가문에서 살려 두는 건 여자뿐, 남자는 시체가 되거나 후계자가 되거나 둘 중 하나뿐이다.빽도 힘도 없는 크리스탈의 유일한 목표는 로터리 가문을 떠나서 평범하게 살아가는 것.살아남기 위해서 딸로 자랐다. 죽은 사람처럼 숨죽이고 지냈다.드디어 떠나려 했는데, 결혼을 하란다?궁지에 몰린 크리스탈은 로터리와 정치적으로 대립하는 펜트린 대공에게 청혼서를 넣는다.당연히 거절할 줄 알았는데 허혼서가 돌아왔다. 크리스탈은 펜트린 대공성으로 도망친다.냉정한 북부의 주인, 잔인한 남자, 얼음장 같은 마음을 가진 사람.크리스탈은 소문만 무성한 일리안 펜트린을 만난다.그리고 결혼했다. 어쩌다 보니?*“그리 긴장할 필요 없어요. 난 그대에게 아무 짓도 하지 않을 테니까요.”부부로서 맞이한 첫날밤, 크리스탈은 합방을 하지 않겠다는 말을 들었다.이게 무슨 소릴까. 넌 파혼당할 거라고 돌려 말하는 건가?숨결이 닿을 거리에서 일리안이 속삭인다.“레이디에겐 죄송하지만…… 제가 고자라서요.”세상에서 가장 다정한 목소리로 일리안 펜트린이 말했다.","로맨스판타지, 운명, 남장여자, 로맨틱코미디",https://page-images.kakaoentcdn.com/download/resource?kid=IwVKm/hAd4y1JFy4/HqNorkqOsm4vDFX3MSb7OK&filename=o1/dims/resize/384,https://page.kakao.com/content/61241377
신규,kakao_page,시한부라서 흑막의 며느리가 되었는데,유나진,유나진,유나진,,전체연령가,로판,소설,"흑막이 눈속임을 위해 들이는 어린 며느리에 빙의했다.문제는 내가 시한부라 성인이 되면 죽을 예정이라는 것.'다행히 치료제는 알고 있지만...'내가 적당한 때 죽지 않으면시아버님, 아니 흑막 이카르드 공작이 나를 죽일지도 모른다!그것도 고작 자기의 목적을 이루겠다는 이유 하나만으로!  그런데 대체 어떤 애가 이런 집안에 잘 적응할 수 있겠어?""저는 아버님이랑 에반이랑 오래오래 행복하게... 쿨럭! 쿨럭!""내가 바로 그 '어떤 애'였다. 사실 나도 좀 흑막 재질이란 말이지.어쨌든 이렇게 시한부를 연기하면서 시간 끌다가 병도 치료하고, 돈 벌어서 도망치려 했는데... ""대륙의 모든 의원들을 불러. 내 며느리는 살아야 한다.""어... 아버님? 저는 버리는 패가 아니었나요?""네가 죽으면 나는 무조건 따라 죽을 거야. 너 없는 세상에서 못 살아.""...남편? 너 원래 아버지 닮아서 아무도 사랑 안 하잖아?어쩐지 세상이 내가 알고 있던대로 굴러가지 않는 것 같다.유나진 작가의 <시한부라서 흑막의 며느리가 되었는데>","로맨스판타지, 시월드, 빙의물, 첫사랑, 까칠남, 상처남, 소유욕/독점욕, 순정남, 능력녀, 자상녀, 엉뚱발랄녀, 걸크러쉬, 사이다녀, 정략결혼, 쌍방삽질",https://page-images.kakaoentcdn.com/download/resource?kid=Xu6M2/hyQ9Liqgvp/z4cVzAin7Zjaj3TzNdkL3K&filename=o1/dims/resize/384,https://page.kakao.com/content/56108278
신규,kakao_page,화산전생,"정준, 정준, 토마씨, 토마씨","정준, 토마씨",토마씨,정준,전체연령가,무협/사극,웹툰,"전란의 시대에서 운이 좋게 살아남아 화산파의 장로가 된 주서천.평생 영광을 맛보지 못한 채 후회와 미련만 가득 안고 눈을 감는다.​그러나 죽음을 맞이하는 순간, 어찌 된 영문인지 운명은 그를 다시 과거로 돌려보내는데…….","정통, 귀환, 노력, 먼치킨, 무림, 생존, 성장, 영웅/신화, 환생, 검, 도사, 마교, 명문세가, 살수, 화산",https://page-images.kakaoentcdn.com/download/resource?kid=qxF2g/hzVqJntzFh/z5hWWfFNp5pwJ8f4IVR7RK&filename=o1/dims/resize/384,https://page.kakao.com/content/50289296
신규,kakao_page,악녀가 길들인 짐승 [완결],설영(雪影),설영(雪影),설영(雪影),,15세 이용가,로판,소설,"소설 속 유일무이한 진짜 악녀는, 아름다운 외모의 사내를 데려와 평생 그를 길들여놨다.그는 공포를 한계까지 참아낸 후 그녀에게 애원하는 법을 배웠으며 목줄을 풀어도 결코 도망칠 수 없는 짐승이 되었다.하지만, 어느 날 짐승은 사랑에 빠져 자신을 구원해준 여인과 함께 황제가 되어 악녀를 영원한 굴레 속으로 빠뜨린다.라는 대목이 있는데, 하필이면 남주를 반쯤 길들여놨을 시점에 빙의했다.……어쩌지?일단은 세뇌를 조금씩 풀어보자.그다음은…… 참회하는 척하자. 아멘.***“찾느라 고생이 많았습니다.”“무슨 말씀이신지… 잘 모르겠습니다. 황제 폐하.”“내가 당신의 이 손길을 어떻게 잊겠습니까.”그러면서 그는 내 손목을 붙잡은 채 손을 잡아당겨 제 볼에 가져다 대곤 천천히 쓸어내렸다.소설 속 악녀, 일리아나가 그를 칭찬할 때 늘 그랬던 것처럼.“나는 당신을 길들일 겁니다. 당신이 내게 그랬던 것처럼, 내가 없으면 아무것도 할 수 없는 짐승으로.”그렇게 원치 않게 그의 볼을 쓸어내린 손바닥이 이윽고 그의 입술에 닿았다. 그가 손바닥에 짧게 입을 맞춘 후 천천히 손을 떼어냈다.일러스트 : 케이타이포 디자인 : 림재",,https://page-images.kakaoentcdn.com/download/resource?kid=c3UXQf/hywgzDkl6J/NvKKoKBTitlKg6iNqfKac1&filename=o1/dims/resize/384,https://page.kakao.com/content/53753133
신규,kakao_page,아기 다람쥐가 다 잘해요,"군청주단, 혹등고래, 한소영",혹등고래,한소영,군청주단,전체연령가,로판,웹툰,"사자 가문에서 태어난 유약한 다람쥐 수인 베아티.그 탓에 수도 이모집에서 구박데기로 살다유일한 친구이자 약혼자인 2황자에게꿈을 이루기 위해 떠나겠다고 말한 순간,'리테르 너 이 나쁜 새끼…!'그놈의 독니에 죽었다.다시 눈을 떴더니 2왕자와 엮이기 전의 어린 시절.이럴 때 필요한 건 뭐? 스피드.바로 몸만 빼내 친부 사자공의 영지로 튀었다.비록 환영받진 못하겠지만그래도 앞으로 발견될 이 엄청난 비법을 가져가 준다면, 내쫓지는 않을 거……""어서 오십시오, 아가씨!""""세상에! 언제 이렇게 자라셔서….""""아가씨가 저 앙증맞은 두 발로 걸으신다!""……응? 왜 이렇게 환영하지?저거 설마 내 동상이야?","로맨스판타지, 육아물, 성장물, 가족물, 수인물, 인외존재, 달달물, 치유물, 힐링물",https://page-images.kakaoentcdn.com/download/resource?kid=FYWBv/dJMcag6vHVJ/q3veifwHQ2LdfjEK5cjEj0&filename=o1/dims/resize/384,https://page.kakao.com/content/59976402
신규,kakao_page,주워서 키워줬더니 감금으로 보답받았다,티티제,티티제,티티제,,전체연령가,로판,소설,"친구가 입이 닳도록 말한 피폐 소설의 별 볼 일 없는 고아로 빙의했다.아직 원작은 진행되지 않은 것 같지만, 나는 원작에 가담할 생각이 전혀 없었다.왜냐하면 남주 그 자식, 여주를 제 구원자라 믿으며 결말에 여주를 새장에 감금하고 세뇌시켜 버리는 사이코패스 또라이니까.그래. 그냥 가늘고 길게 살자.그런데 이 망할 세상이 고아로 빙의시킨 주제에 소드마스터의 힘을 던져 주네?그럼 더 열심히 가늘고 길게 살아야지.전쟁으로 난리가 난 제국을 전전하며 겁탈하려는 기사 몇 명 때려 눕혀 목돈도 만들고, 그러다 정말 죽을 것 같은 남자아이 하나도 구해 줬다.제 이름도 기억 못 하는 것 같기에 아델이라는 이름도 지어 주고, 잘 곳도 만들어 주고, 소고기도 먹이며 오냐오냐 3년을 키웠다.하지만 이 배은망덕한 놈은 고맙다는 인사도 없이 홀랑 도망쳐 버렸는데…….""아델?""""루이사, 보고 싶었어요.""그런데 네가 왜 황제가 되어서 나한테 다시 와?“루이사, 당신은 나의 구원자야.”왜 여주인공한테 해야 할 감금 플래그를 나한테 세우는데?#책빙의 #약피폐 #로코 #구원물 #능력녀 #사이다녀 #다정녀 #연상녀 #강아지남 #황제남 #집착남 #존대남","로맨스판타지, 착각물, 먼치킨, 빙의물, 왕족/귀족, 연하남, 능력남, 집착남, 존댓말남, 대형견남, 능력녀, 사이다녀, 다정녀, 로맨틱코미디",https://page-images.kakaoentcdn.com/download/resource?kid=bbR7Gq/hzCs7Giaxk/3QGOBogwlgWX0qtwq0JwfK&filename=o1/dims/resize/384,https://page.kakao.com/content/59668629
신규,naver_webtoon,불량순정,김수박,김수박,김수박,,15세 이용가,로맨스,웹툰,"첫사랑은 다정한 게 아니라, 그냥 아무에게나 잘해주는 사람이었다.
그래서 이번엔 안 속으려고 했다. 두 번째로 엮인 남자는 더 노골적이니까.
사람 다루는 게 능숙하고, 관심도 애정도 적당히 나눠 쓰는… 또 어장남!

근데 이상하다. 이 남자, 분명 똑같은 부류인데 유독 나한테만 선을 못 긋는다.
다른 애들에겐 가볍게 웃으면서, 나한테는 이유 없이 집요하다.
장난 같다가도 집착 같고, 가벼운 듯하다가도 묘하게 무겁다.

너 뭐야. 어장관리야, 아니면… 진짜야?
불량한데, 이상하게 순정!","순애남, 후회남, 나쁜남자, 폭스남, 캠퍼스로맨스",https://shared-comic.pstatic.net/thumb/webtoon/849365/thumbnail/thumbnail_IMAG21_fe5d4080-7c7d-4484-af66-89e1270e3835.jpg,https://comic.naver.com/webtoon/list?titleId=849365
신규,naver_webtoon,로도스도 전기 : 사령의 여왕,남부낙타,남부낙타,남부낙타,,15세 이용가,판타지,웹툰,"카스툴의 피를 이은 사령술사 넥트렐라. 그의 손에 붙잡힌 연인을 되찾기 위해, 광전사 테인은 목숨을 건 싸움에 뛰어든다.","레드아이스 스튜디오, 마법, 모험, 용사, 액션, 세계관, 다크판타지",https://shared-comic.pstatic.net/thumb/webtoon/849587/thumbnail/thumbnail_IMAG21_eeb094a5-c649-4f5b-a445-1c0252b66be9.jpg,https://comic.naver.com/webtoon/list?titleId=849587
신규,naver_webtoon,생활의 참견 2 : 지금은 가족시절,김양수,김양수,김양수,,전체연령가,개그,웹툰,"쉽게 지나치는 일상과 지나간 추억 속에서 발견하는 유쾌한 웃음,
자라난 아이들과 더욱 강력해진 케미로 그가 돌아왔다!","일상개그힐링, 공감, 가족, 일상, 개그",https://shared-comic.pstatic.net/thumb/webtoon/849676/thumbnail/thumbnail_IMAG21_e945e6b5-78cc-43a7-adf3-56a5bc29e6c8.jpg,https://comic.naver.com/webtoon/list?titleId=849676
